NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP1990,POP2000,POP90_SQMI
Lake of the Woods,Minnesota,27,77,27077,1784.0634,4076,4651,2
Ferry,Washington,53,19,53019,2280.2319,6295,7199,3
Stevens,Washington,53,65,53065,2529.9794,30948,40652,12
Okanogan,Washington,53,47,53047,5306.18,33350,38640,6
Pend Oreille,Washington,53,51,53051,1445.0286,8915,11752,6
Boundary,Idaho,16,21,16021,1279.2987,8332,10068,7
Lincoln,Montana,30,53,30053,3746.0908,17481,18859,5
Flathead,Montana,30,29,30029,5232.0306,59218,73438,11
Glacier,Montana,30,35,30035,3124.4572,12121,12626,4
Toole,Montana,30,101,30101,1943.2598,5046,4556,3
Liberty,Montana,30,51,30051,1485.9458,2295,,2
Hill,Montana,30,41,30041,2917.3611,17654,,6
Sheridan,Montana,30,91,30091,1686.5827,4732,,3
Divide,North Dakota,38,23,38023,1279.9633,2899,2230,2
Burke,North Dakota,38,13,38013,1121.417,3002,2116,3
Renville,North Dakota,38,75,38075,883.772,3160,2781,4
Bottineau,North Dakota,38,9,38009,1710.0681,8011,7172,5
Rolette,North Dakota,38,79,38079,943.6554,12772,14322,14
Towner,North Dakota,38,95,38095,1051.6146,3627,2893,3
Cavalier,North Dakota,38,19,38019,1503.6905,6064,4673,4
Pembina,North Dakota,38,67,38067,1111.7749,9238,8233,8
Kittson,Minnesota,27,69,27069,1095.0149,5767,5088,5
Roseau,Minnesota,27,135,27135,1670.997,15026,16076,9
Blaine,Montana,30,5,30005,4226.2541,6728,7065,2
Phillips,Montana,30,71,30071,5197.3383,5163,4598,1
Valley,Montana,30,105,30105,5055.5539,8239,8061,2
Daniels,Montana,30,19,30019,1421.8024,2266,1925,2
Whatcom,Washington,53,73,53073,2170.2019,127780,163004,59
Bonner,Idaho,16,17,16017,1902.6247,26622,36782,14
Ward,North Dakota,38,101,38101,2043.8348,57921,58210,28
Koochiching,Minnesota,27,71,27071,3141.0325,16299,14760,5
Skagit,Washington,53,57,53057,1765.1474,79555,103097,45
Williams,North Dakota,38,105,38105,2175.6903,21129,19515,10
McHenry,North Dakota,38,49,38049,1874.8388,6528,5881,3
St. Louis,Minnesota,27,137,27137,6750.4944,198213,193111,29
San Juan,Washington,53,55,53055,55.9182,10035,13215,179
Roosevelt,Montana,30,85,30085,2395.1857,10999,10847,5
Mountrial,North Dakota,38,61,38061,1944.771,7021,6449,4
Marshall,Minnesota,27,89,27089,1819.1567,10993,9937,6
Ramsey,North Dakota,38,71,38071,1311.2914,12681,11785,10
Walsh,North Dakota,38,99,38099,1310.2296,13840,13213,11
Beltrami,Minnesota,27,7,27007,3056.604,34384,39655,11
Pierce,North Dakota,38,69,38069,1069.4228,5052,4560,5
Chelan,Washington,53,7,53007,3017.2079,52250,61487,17
Pondera,Montana,30,73,30073,1633.2953,6433,6191,4
Clallam,Washington,53,9,53009,1779.6832,56464,65181,32
Benson,North Dakota,38,5,38005,1418.8483,7198,6743,5
Chouteau,Montana,30,15,30015,3973.7297,5452,4978,1
Snohomish,Washington,53,61,53061,2101.1892,465642,611962,222
Island,Washington,53,29,53029,230.9419,60195,75099,261
Sanders,Montana,30,89,30089,2763.2946,8669,10265,3
Lake,Minnesota,27,75,27075,2307.4016,10415,10817,5
Nelson,North Dakota,38,63,38063,1009.2664,4410,3578,4
Grand Forks,North Dakota,38,35,38035,1445.3347,70683,62916,49
Polk,Minnesota,27,119,27119,1981.634,32498,30353,16
Pennington,Minnesota,27,113,27113,608.1183,13306,13569,22
Douglas,Washington,53,17,53017,1838.2245,26205,34817,14
McKenzie,North Dakota,38,53,38053,2852.6704,6383,5446,2
Jefferson,Washington,53,31,53031,1773.0149,20146,27195,11
Richland,Montana,30,83,30083,2099.4733,10716,9978,5
Teton,Montana,30,99,30099,2263.2998,6271,6476,3
McCone,Montana,30,55,30055,2688.2397,2276,1884,1
Shoshone,Idaho,16,79,16079,2643.3378,13931,13528,5
Spokane,Washington,53,63,53063,1789.382,361364,411377,202
Lake,Montana,30,47,30047,1649.9169,21041,26197,13
Clearwater,Minnesota,27,29,27029,1038.3333,8309,8090,8
Kootenai,Idaho,16,55,16055,1307.6285,69795,108010,53
Garfield,Montana,30,33,30033,4855.2315,1589,1419,0
Red Lake,Minnesota,27,125,27125,429.879,4525,4155,11
Grant,Washington,53,25,53025,2786.5889,54758,73598,20
Lincoln,Washington,53,43,53043,2330.3711,8864,9809,4
Lewis and Clark,Montana,30,49,30049,3494.9157,47495,54400,14
Kitsap,Washington,53,35,53035,391.027,189731,239295,485
Itasca,Minnesota,27,61,27061,2955.5776,40863,44445,14
Sheridan,North Dakota,38,83,38083,1015.5213,2148,1619,2
Wells,North Dakota,38,103,38103,1302.8983,5864,5021,5
McLean,North Dakota,38,55,38055,2343.5028,10457,9523,4
Eddy,North Dakota,38,27,38027,645.0028,2951,2767,5
Dunn,North Dakota,38,25,38025,2098.0127,4005,3379,2
Fergus,Montana,30,27,30027,4351.2064,12083,12069,3
Dawson,Montana,30,21,30021,2395.9198,9505,8548,4
King,Washington,53,33,53033,2164.6802,1507319,1680747,696
Cascade,Montana,30,13,30013,2725.8134,77691,77903,29
Griggs,North Dakota,38,39,38039,721.9119,3303,2724,5
Steele,North Dakota,38,91,38091,705.2618,2420,2149,3
Traill,North Dakota,38,97,38097,862.1332,8752,8552,10
Mason,Washington,53,45,53045,904.9991,38341,50966,42
Missoula,Montana,30,63,30063,2613.358,78687,89724,30
Petroleum,Montana,30,69,30069,1664.9659,519,501,0
Powell,Montana,30,77,30077,2332.7113,6620,6918,3
Kittitas,Washington,53,37,53037,2328.995,26725,32513,11
Foster,North Dakota,38,31,38031,648.6568,3983,3775,6
Mercer,North Dakota,38,57,38057,1119.1206,9808,9097,9
Grays Harbor,Washington,53,27,53027,1917.0618,64175,66886,33
Norman,Minnesota,27,107,27107,876.495,7975,7468,9
Mahnomen,Minnesota,27,87,27087,582.6461,5044,5093,9
Mineral,Montana,30,61,30061,1232.7046,3315,3925,3
Cass,Minnesota,27,21,27021,2415.9208,21791,27698,9
Aroostook,Maine,23,3,23003,6807.189,86936,74909,13
